left_gabor_ori,right_gabor_ori,left_distractor_ori,right_distractor_ori,similarity_range,cue,probe_x,probe_ori,correct_response,rotate_direction,similarity,another_similarity
166,39,194,60,"[25,45] degrees",neutral,-0.4,136,166,clockwise,28,21
141,65,167,91,"[25,45] degrees",left,-0.4,122,141,clockwise,26,26
116,24,152,48,"[25,45] degrees",neutral,0.4,6,24,clockwise,24,36
3,130,42,163,"[25,45] degrees",right,0.4,166,130,clockwise,33,39
64,17,106,52,"[25,45] degrees",neutral,-0.4,99,64,clockwise,42,35
21,71,48,114,"[25,45] degrees",left,-0.4,42,21,clockwise,27,43
55,176,80,199,"[25,45] degrees",neutral,0.4,131,176,clockwise,23,25
45,174,69,210,"[25,45] degrees",right,0.4,200,174,clockwise,36,24
143,19,164,54,"[25,45] degrees",neutral,-0.4,165,143,clockwise,21,35
139,90,168,130,"[25,45] degrees",left,-0.4,110,139,clockwise,29,40
53,113,74,133,"[25,45] degrees",neutral,0.4,116,113,clockwise,20,21
81,148,111,190,"[25,45] degrees",right,0.4,178,148,clockwise,42,30
113,39,142,61,"[25,45] degrees",neutral,-0.4,75,113,clockwise,29,22
92,162,114,203,"[25,45] degrees",left,-0.4,72,92,clockwise,22,41
89,142,124,170,"[25,45] degrees",neutral,0.4,174,142,clockwise,28,35
82,108,103,153,"[25,45] degrees",right,0.4,147,108,clockwise,45,21
36,172,56,207,"[25,45] degrees",neutral,-0.4,45,36,clockwise,20,35
81,16,126,58,"[25,45] degrees",left,-0.4,125,81,clockwise,45,42
46,0,73,32,"[25,45] degrees",neutral,0.4,32,0,clockwise,32,27
32,176,64,213,"[25,45] degrees",right,0.4,197,176,clockwise,37,32
170,64,210,99,"[25,45] degrees",neutral,-0.4,142,170,clockwise,40,35
13,115,50,154,"[25,45] degrees",left,-0.4,-24,13,clockwise,37,39
123,151,145,191,"[25,45] degrees",neutral,0.4,151,151,clockwise,40,22
154,40,188,83,"[25,45] degrees",right,0.4,75,40,clockwise,43,34
134,168,170,194,"[25,45] degrees",neutral,-0.4,123,134,clockwise,36,26
168,107,191,128,"[25,45] degrees",left,-0.4,148,168,clockwise,23,21
62,108,104,145,"[25,45] degrees",neutral,0.4,63,108,clockwise,37,42
165,110,187,144,"[25,45] degrees",right,0.4,144,110,clockwise,34,22
179,146,211,170,"[25,45] degrees",neutral,-0.4,217,179,clockwise,32,24
