left_gabor_ori,right_gabor_ori,left_distractor_ori,right_distractor_ori,similarity_range,cue,probe_x,probe_ori,correct_response,rotate_direction,similarity,another_similarity
6,42,41,79,"[25,45] degrees",neutral,-0.4,-37,6,clockwise,35,37
16,101,53,131,"[25,45] degrees",left,-0.4,26,16,clockwise,37,30
61,26,97,62,"[25,45] degrees",neutral,0.4,-7,26,clockwise,36,36
12,125,52,154,"[25,45] degrees",right,0.4,115,125,clockwise,29,40
51,160,72,200,"[25,45] degrees",neutral,-0.4,16,51,clockwise,21,40
76,101,98,129,"[25,45] degrees",left,-0.4,87,76,clockwise,22,28
32,143,76,185,"[25,45] degrees",neutral,0.4,138,143,clockwise,42,44
141,42,178,71,"[25,45] degrees",right,0.4,40,42,clockwise,29,37
82,17,121,54,"[25,45] degrees",neutral,-0.4,72,82,clockwise,39,37
78,39,119,61,"[25,45] degrees",left,-0.4,104,78,clockwise,41,22
159,22,188,53,"[25,45] degrees",neutral,0.4,35,22,clockwise,31,29
86,12,106,38,"[25,45] degrees",right,0.4,42,12,clockwise,26,20
81,167,124,192,"[25,45] degrees",neutral,-0.4,46,81,clockwise,43,25
42,117,63,146,"[25,45] degrees",left,-0.4,14,42,clockwise,21,29
81,31,101,55,"[25,45] degrees",neutral,0.4,51,31,clockwise,24,20
68,0,107,30,"[25,45] degrees",right,0.4,29,0,clockwise,30,39
112,11,154,47,"[25,45] degrees",neutral,-0.4,132,112,clockwise,42,36
92,144,133,186,"[25,45] degrees",left,-0.4,117,92,clockwise,41,42
0,92,35,113,"[25,45] degrees",neutral,0.4,48,92,clockwise,21,35
140,15,171,44,"[25,45] degrees",right,0.4,39,15,clockwise,29,31
6,100,29,131,"[25,45] degrees",neutral,-0.4,21,6,clockwise,23,31
4,60,49,104,"[25,45] degrees",left,-0.4,28,4,clockwise,45,44
31,154,55,197,"[25,45] degrees",neutral,0.4,138,154,clockwise,43,24
62,25,86,47,"[25,45] degrees",right,0.4,18,25,clockwise,22,24
34,122,57,160,"[25,45] degrees",neutral,-0.4,21,34,clockwise,23,38
111,53,148,88,"[25,45] degrees",left,-0.4,115,111,clockwise,37,35
162,8,183,38,"[25,45] degrees",neutral,0.4,27,8,clockwise,30,21
131,7,164,43,"[25,45] degrees",right,0.4,-2,7,clockwise,36,33
134,69,178,101,"[25,45] degrees",neutral,-0.4,143,134,clockwise,44,32
144,98,176,124,"[25,45] degrees",left,-0.4,108,144,clockwise,32,26
69,119,110,161,"[25,45] degrees",neutral,0.4,101,119,clockwise,42,41
162,116,204,152,"[25,45] degrees",right,0.4,124,116,clockwise,36,42
172,36,208,69,"[25,45] degrees",neutral,-0.4,209,172,clockwise,36,33
160,53,189,98,"[25,45] degrees",left,-0.4,205,160,clockwise,29,45
155,25,193,67,"[25,45] degrees",neutral,0.4,32,25,clockwise,42,38
59,108,84,148,"[25,45] degrees",right,0.4,70,108,clockwise,40,25
167,124,196,169,"[25,45] degrees",neutral,-0.4,167,167,clockwise,29,45
18,144,56,189,"[25,45] degrees",left,-0.4,-24,18,clockwise,38,45
5,49,45,87,"[25,45] degrees",neutral,0.4,61,49,clockwise,38,40
79,38,100,71,"[25,45] degrees",right,0.4,-5,38,clockwise,33,21
172,100,197,122,"[25,45] degrees",neutral,-0.4,209,172,clockwise,25,22
175,85,205,117,"[25,45] degrees",left,-0.4,194,175,clockwise,30,32
88,164,108,189,"[25,45] degrees",neutral,0.4,200,164,clockwise,25,20
34,59,54,104,"[25,45] degrees",right,0.4,104,59,clockwise,45,20
152,59,178,102,"[25,45] degrees",neutral,-0.4,124,152,clockwise,26,43
63,42,106,78,"[25,45] degrees",left,-0.4,32,63,clockwise,43,36
5,134,44,173,"[25,45] degrees",neutral,0.4,140,134,clockwise,39,39
137,85,172,113,"[25,45] degrees",right,0.4,104,85,clockwise,28,35
60,2,83,29,"[25,45] degrees",neutral,-0.4,86,60,clockwise,23,27
47,10,92,44,"[25,45] degrees",left,-0.4,82,47,clockwise,45,34
