left_gabor_ori,right_gabor_ori,left_distractor_ori,right_distractor_ori,similarity_range,cue,probe_x,probe_ori,correct_response,rotate_direction,similarity,another_similarity
105,170,141,214,"[25,45] degrees",neutral,-0.4,119,105,clockwise,36,44
157,91,177,114,"[25,45] degrees",left,-0.4,131,157,clockwise,20,23
81,7,114,36,"[25,45] degrees",neutral,0.4,-7,7,clockwise,29,33
3,52,29,96,"[25,45] degrees",right,0.4,89,52,clockwise,44,26
11,154,56,188,"[25,45] degrees",neutral,-0.4,-21,11,clockwise,45,34
24,51,53,75,"[25,45] degrees",left,-0.4,42,24,clockwise,29,24
120,173,153,200,"[25,45] degrees",neutral,0.4,147,173,clockwise,27,33
97,6,122,40,"[25,45] degrees",right,0.4,18,6,clockwise,34,25
112,3,137,35,"[25,45] degrees",neutral,-0.4,81,112,clockwise,25,32
136,167,181,209,"[25,45] degrees",left,-0.4,172,136,clockwise,45,42
124,164,159,198,"[25,45] degrees",neutral,0.4,153,164,clockwise,34,35
170,98,209,120,"[25,45] degrees",right,0.4,117,98,clockwise,22,39
5,110,50,152,"[25,45] degrees",neutral,-0.4,26,5,clockwise,45,42
170,39,205,64,"[25,45] degrees",left,-0.4,211,170,clockwise,35,25
109,45,152,84,"[25,45] degrees",neutral,0.4,27,45,clockwise,39,43
18,136,38,159,"[25,45] degrees",right,0.4,177,136,clockwise,23,20
27,94,49,121,"[25,45] degrees",neutral,-0.4,65,27,clockwise,22,27
34,83,69,125,"[25,45] degrees",left,-0.4,28,34,clockwise,35,42
173,101,208,123,"[25,45] degrees",neutral,0.4,135,101,clockwise,22,35
38,72,65,114,"[25,45] degrees",right,0.4,93,72,clockwise,42,27
166,105,188,133,"[25,45] degrees",neutral,-0.4,134,166,clockwise,22,28
101,167,143,205,"[25,45] degrees",left,-0.4,80,101,clockwise,42,38
5,77,37,99,"[25,45] degrees",neutral,0.4,57,77,clockwise,22,32
77,41,103,69,"[25,45] degrees",right,0.4,4,41,clockwise,28,26
94,119,128,152,"[25,45] degrees",neutral,-0.4,104,94,clockwise,34,33
77,18,117,63,"[25,45] degrees",left,-0.4,65,77,clockwise,40,45
21,92,44,131,"[25,45] degrees",neutral,0.4,90,92,clockwise,39,23
88,145,133,174,"[25,45] degrees",right,0.4,142,145,clockwise,29,45
21,92,65,116,"[25,45] degrees",neutral,-0.4,62,21,clockwise,44,24
87,163,130,189,"[25,45] degrees",left,-0.4,112,87,clockwise,43,26
100,13,136,56,"[25,45] degrees",neutral,0.4,-18,13,clockwise,43,36
154,109,178,136,"[25,45] degrees",right,0.4,149,109,clockwise,27,24
129,95,158,134,"[25,45] degrees",neutral,-0.4,115,129,clockwise,29,39
57,32,93,68,"[25,45] degrees",left,-0.4,79,57,clockwise,36,36
142,71,180,106,"[25,45] degrees",neutral,0.4,43,71,clockwise,35,38
27,67,51,87,"[25,45] degrees",right,0.4,103,67,clockwise,20,24
52,177,97,222,"[25,45] degrees",neutral,-0.4,12,52,clockwise,45,45
98,72,128,99,"[25,45] degrees",left,-0.4,139,98,clockwise,30,27
