left_gabor_ori,right_gabor_ori,left_distractor_ori,right_distractor_ori,similarity_range,cue,probe_x,probe_ori,correct_response,rotate_direction,similarity,another_similarity
170,140,215,183,"[25,45] degrees",neutral,-0.4,142,170,clockwise,45,43
112,68,157,95,"[25,45] degrees",left,-0.4,73,112,clockwise,45,27
166,45,194,87,"[25,45] degrees",neutral,0.4,20,45,clockwise,42,28
61,98,92,138,"[25,45] degrees",right,0.4,123,98,clockwise,40,31
35,136,77,159,"[25,45] degrees",neutral,-0.4,47,35,clockwise,42,23
140,8,165,42,"[25,45] degrees",left,-0.4,136,140,clockwise,25,34
155,16,184,36,"[25,45] degrees",neutral,0.4,-3,16,clockwise,20,29
111,175,143,214,"[25,45] degrees",right,0.4,217,175,clockwise,39,32
106,50,138,78,"[25,45] degrees",neutral,-0.4,145,106,clockwise,32,28
34,177,61,201,"[25,45] degrees",left,-0.4,19,34,clockwise,27,24
103,47,123,92,"[25,45] degrees",neutral,0.4,44,47,clockwise,45,20
5,56,38,80,"[25,45] degrees",right,0.4,23,56,clockwise,24,33
95,41,122,79,"[25,45] degrees",neutral,-0.4,102,95,clockwise,27,38
132,37,161,73,"[25,45] degrees",left,-0.4,95,132,clockwise,29,36
48,13,78,52,"[25,45] degrees",neutral,0.4,-28,13,clockwise,39,30
67,108,90,138,"[25,45] degrees",right,0.4,134,108,clockwise,30,23
59,3,89,39,"[25,45] degrees",neutral,-0.4,62,59,clockwise,30,36
109,71,149,104,"[25,45] degrees",left,-0.4,103,109,clockwise,40,33
101,58,127,98,"[25,45] degrees",neutral,0.4,52,58,clockwise,40,26
79,46,101,78,"[25,45] degrees",right,0.4,14,46,clockwise,32,22
90,11,135,41,"[25,45] degrees",neutral,-0.4,132,90,clockwise,45,30
16,59,50,95,"[25,45] degrees",left,-0.4,59,16,clockwise,34,36
12,92,55,115,"[25,45] degrees",neutral,0.4,104,92,clockwise,23,43
56,117,76,154,"[25,45] degrees",right,0.4,162,117,clockwise,37,20
39,87,61,121,"[25,45] degrees",neutral,-0.4,70,39,clockwise,22,34
128,94,173,136,"[25,45] degrees",left,-0.4,93,128,clockwise,45,42
162,78,197,117,"[25,45] degrees",neutral,0.4,76,78,clockwise,39,35
141,115,184,135,"[25,45] degrees",right,0.4,99,115,clockwise,20,43
118,24,146,66,"[25,45] degrees",neutral,-0.4,77,118,clockwise,28,42
130,22,173,55,"[25,45] degrees",left,-0.4,146,130,clockwise,43,33
112,36,140,59,"[25,45] degrees",neutral,0.4,61,36,clockwise,23,28
137,43,169,82,"[25,45] degrees",right,0.4,10,43,clockwise,39,32
25,104,50,149,"[25,45] degrees",neutral,-0.4,19,25,clockwise,25,45
168,31,208,75,"[25,45] degrees",left,-0.4,203,168,clockwise,40,44
2,76,29,109,"[25,45] degrees",neutral,0.4,66,76,clockwise,33,27
170,119,209,163,"[25,45] degrees",right,0.4,136,119,clockwise,44,39
163,56,184,99,"[25,45] degrees",neutral,-0.4,137,163,clockwise,21,43
15,40,41,70,"[25,45] degrees",left,-0.4,52,15,clockwise,26,30
110,25,150,56,"[25,45] degrees",neutral,0.4,41,25,clockwise,31,40
22,88,52,113,"[25,45] degrees",right,0.4,81,88,clockwise,25,30
61,173,102,195,"[25,45] degrees",neutral,-0.4,37,61,clockwise,41,22
129,91,158,131,"[25,45] degrees",left,-0.4,157,129,clockwise,29,40
168,40,197,78,"[25,45] degrees",neutral,0.4,42,40,clockwise,38,29
152,50,184,74,"[25,45] degrees",right,0.4,6,50,clockwise,24,32
62,147,103,191,"[25,45] degrees",neutral,-0.4,24,62,clockwise,41,44
58,154,85,174,"[25,45] degrees",left,-0.4,95,58,clockwise,27,20
121,56,148,91,"[25,45] degrees",neutral,0.4,40,56,clockwise,35,27
19,58,54,79,"[25,45] degrees",right,0.4,17,58,clockwise,21,35
42,83,68,126,"[25,45] degrees",neutral,-0.4,42,42,clockwise,26,43
118,35,140,62,"[25,45] degrees",left,-0.4,146,118,clockwise,22,27
53,26,84,46,"[25,45] degrees",neutral,0.4,31,26,clockwise,20,31
35,98,68,118,"[25,45] degrees",right,0.4,114,98,clockwise,20,33
107,149,127,194,"[25,45] degrees",neutral,-0.4,68,107,clockwise,20,45
70,117,115,146,"[25,45] degrees",left,-0.4,55,70,clockwise,45,29
111,167,138,204,"[25,45] degrees",neutral,0.4,125,167,clockwise,37,27
75,170,119,190,"[25,45] degrees",right,0.4,134,170,clockwise,20,44
106,142,136,172,"[25,45] degrees",neutral,-0.4,145,106,clockwise,30,30
139,52,180,77,"[25,45] degrees",left,-0.4,149,139,clockwise,41,25
