left_gabor_ori,right_gabor_ori,left_distractor_ori,right_distractor_ori,similarity_range,cue,probe_x,probe_ori,correct_response,rotate_direction,similarity,another_similarity
142,78,167,105,"[25,45] degrees",neutral,-0.4,184,142,clockwise,25,27
15,61,57,93,"[25,45] degrees",left,-0.4,25,15,clockwise,42,32
74,47,106,80,"[25,45] degrees",neutral,0.4,77,47,clockwise,33,32
133,177,171,211,"[25,45] degrees",right,0.4,138,177,clockwise,34,38
21,119,53,145,"[25,45] degrees",neutral,-0.4,-12,21,clockwise,32,26
68,94,95,139,"[25,45] degrees",left,-0.4,71,68,clockwise,27,45
159,50,130,30,"[25,45] degrees",neutral,0.4,33,50,anticlockwise,-20,-29
136,75,101,34,"[25,45] degrees",right,0.4,68,75,anticlockwise,-41,-35
178,92,145,64,"[25,45] degrees",neutral,-0.4,166,178,anticlockwise,-33,-28
8,102,-33,59,"[25,45] degrees",left,-0.4,23,8,anticlockwise,-41,-43
59,134,18,107,"[25,45] degrees",neutral,0.4,173,134,anticlockwise,-27,-41
87,176,42,150,"[25,45] degrees",right,0.4,206,176,anticlockwise,-26,-45
159,7,126,-18,"[25,45] degrees",neutral,-0.4,202,159,anticlockwise,-33,-25
