left_gabor_ori,right_gabor_ori,left_distractor_ori,right_distractor_ori,similarity_range,cue,probe_x,probe_ori,correct_response,rotate_direction,similarity,another_similarity
57,19,96,51,"[25,45] degrees",neutral,-0.4,52,57,clockwise,39,32
52,101,94,138,"[25,45] degrees",left,-0.4,95,52,clockwise,42,37
146,32,166,52,"[25,45] degrees",neutral,0.4,34,32,clockwise,20,20
95,159,126,199,"[25,45] degrees",right,0.4,131,159,clockwise,40,31
120,157,143,194,"[25,45] degrees",neutral,-0.4,137,120,clockwise,23,37
123,25,151,67,"[25,45] degrees",left,-0.4,98,123,clockwise,28,42
11,82,-21,40,"[25,45] degrees",neutral,0.4,127,82,anticlockwise,-42,-32
6,116,-39,93,"[25,45] degrees",right,0.4,104,116,anticlockwise,-23,-45
122,87,80,59,"[25,45] degrees",neutral,-0.4,122,122,anticlockwise,-42,-28
85,33,60,2,"[25,45] degrees",left,-0.4,48,85,anticlockwise,-25,-31
167,128,123,83,"[25,45] degrees",neutral,0.4,105,128,anticlockwise,-45,-44
89,4,65,-40,"[25,45] degrees",right,0.4,46,4,anticlockwise,-44,-24
26,153,2,113,"[25,45] degrees",neutral,-0.4,71,26,anticlockwise,-24,-40
