left_gabor_ori,right_gabor_ori,left_distractor_ori,right_distractor_ori,similarity_range,cue,probe_x,probe_ori,correct_response,rotate_direction,similarity,another_similarity
63,166,83,191,"[25,45] degrees",neutral,-0.4,75,63,clockwise,20,25
3,160,27,182,"[25,45] degrees",left,-0.4,43,3,clockwise,24,22
164,110,185,150,"[25,45] degrees",neutral,0.4,97,110,clockwise,40,21
107,169,152,198,"[25,45] degrees",right,0.4,167,169,clockwise,29,45
92,1,134,39,"[25,45] degrees",neutral,-0.4,101,92,clockwise,42,38
57,9,83,34,"[25,45] degrees",left,-0.4,74,57,clockwise,26,25
156,98,187,140,"[25,45] degrees",neutral,0.4,56,98,clockwise,42,31
54,155,98,196,"[25,45] degrees",right,0.4,110,155,clockwise,41,44
56,115,83,146,"[25,45] degrees",neutral,-0.4,62,56,clockwise,27,31
21,52,57,86,"[25,45] degrees",left,-0.4,-11,21,clockwise,36,34
129,82,160,116,"[25,45] degrees",neutral,0.4,60,82,clockwise,34,31
6,128,50,156,"[25,45] degrees",right,0.4,168,128,clockwise,28,44
106,136,138,161,"[25,45] degrees",neutral,-0.4,95,106,clockwise,32,25
140,56,180,93,"[25,45] degrees",left,-0.4,116,140,clockwise,40,37
166,62,191,92,"[25,45] degrees",neutral,0.4,106,62,clockwise,30,25
50,134,95,164,"[25,45] degrees",right,0.4,89,134,clockwise,30,45
158,126,202,167,"[25,45] degrees",neutral,-0.4,130,158,clockwise,44,41
125,47,153,77,"[25,45] degrees",left,-0.4,146,125,clockwise,28,30
130,28,157,61,"[25,45] degrees",neutral,0.4,9,28,clockwise,33,27
151,72,177,101,"[25,45] degrees",right,0.4,65,72,clockwise,29,26
54,160,83,201,"[25,45] degrees",neutral,-0.4,14,54,clockwise,29,41
76,16,98,61,"[25,45] degrees",left,-0.4,83,76,clockwise,22,45
55,20,97,58,"[25,45] degrees",neutral,0.4,-4,20,clockwise,38,42
42,135,86,155,"[25,45] degrees",right,0.4,120,135,clockwise,20,44
151,92,187,131,"[25,45] degrees",neutral,-0.4,128,151,clockwise,36,39
41,5,67,43,"[25,45] degrees",left,-0.4,72,41,clockwise,26,38
136,20,159,42,"[25,45] degrees",neutral,0.4,-3,20,clockwise,22,23
17,72,60,94,"[25,45] degrees",right,0.4,83,72,clockwise,22,43
123,51,161,91,"[25,45] degrees",neutral,-0.4,124,123,clockwise,38,40
115,30,142,59,"[25,45] degrees",left,-0.4,76,115,clockwise,27,29
78,160,108,191,"[25,45] degrees",neutral,0.4,115,160,clockwise,31,30
80,132,117,177,"[25,45] degrees",right,0.4,98,132,clockwise,45,37
35,66,62,100,"[25,45] degrees",neutral,-0.4,32,35,clockwise,27,34
101,174,123,219,"[25,45] degrees",left,-0.4,108,101,clockwise,22,45
165,116,186,140,"[25,45] degrees",neutral,0.4,94,116,clockwise,24,21
140,167,180,203,"[25,45] degrees",right,0.4,166,167,clockwise,36,40
