left_gabor_ori,right_gabor_ori,left_distractor_ori,right_distractor_ori,similarity_range,cue,probe_x,probe_ori,correct_response,rotate_direction,similarity,another_similarity
34,130,74,168,"[25,45] degrees",neutral,-0.4,21,34,clockwise,40,38
56,101,76,123,"[25,45] degrees",left,-0.4,83,56,clockwise,20,22
146,42,182,75,"[25,45] degrees",neutral,0.4,31,42,clockwise,33,36
13,115,57,157,"[25,45] degrees",right,0.4,100,115,clockwise,42,44
82,177,118,199,"[25,45] degrees",neutral,-0.4,67,82,clockwise,36,22
123,1,147,37,"[25,45] degrees",left,-0.4,100,123,clockwise,24,36
71,103,39,77,"[25,45] degrees",neutral,0.4,116,103,anticlockwise,-26,-32
123,26,92,-2,"[25,45] degrees",right,0.4,22,26,anticlockwise,-28,-31
122,26,91,-7,"[25,45] degrees",neutral,-0.4,135,122,anticlockwise,-31,-33
56,10,17,-30,"[25,45] degrees",left,-0.4,41,56,anticlockwise,-39,-40
109,155,68,133,"[25,45] degrees",neutral,0.4,175,155,anticlockwise,-22,-41
169,65,145,41,"[25,45] degrees",right,0.4,62,65,anticlockwise,-24,-24
75,9,39,-15,"[25,45] degrees",neutral,-0.4,70,75,anticlockwise,-36,-24
