left_gabor_ori,right_gabor_ori,left_distractor_ori,right_distractor_ori,similarity_range,cue,probe_x,probe_ori,correct_response,rotate_direction,similarity,another_similarity
59,88,70,120,"(0,18] degrees",neutral,-0.4,101,59,clockwise,11,32
86,175,121,187,"(18,36] degrees",left,-0.4,123,86,clockwise,35,12
160,25,136,18,"(0,18] degrees",right,0.4,1,25,anticlockwise,-7,-24
172,49,154,21,"(18,36] degrees",neutral,0.4,85,49,anticlockwise,-28,-18
139,73,150,93,"(0,18] degrees",left,-0.4,128,139,clockwise,11,20
178,137,181,173,"(18,36] degrees",right,0.4,147,137,clockwise,36,3
40,17,31,-14,"(0,18] degrees",neutral,-0.4,75,40,anticlockwise,-9,-31
34,164,3,153,"(18,36] degrees",left,-0.4,28,34,anticlockwise,-31,-11
128,35,151,47,"(0,18] degrees",right,0.4,80,35,clockwise,12,23
154,15,169,46,"(18,36] degrees",neutral,0.4,49,15,clockwise,31,15
9,65,4,32,"(0,18] degrees",left,-0.4,42,9,anticlockwise,-5,-33
65,32,58,5,"(18,36] degrees",right,0.4,6,32,anticlockwise,-27,-7
67,118,70,145,"(0,18] degrees",neutral,-0.4,53,67,clockwise,3,27
166,110,193,119,"(18,36] degrees",left,-0.4,139,166,clockwise,27,9
74,95,48,90,"(0,18] degrees",right,0.4,125,95,anticlockwise,-5,-26
115,154,100,135,"(18,36] degrees",neutral,0.4,168,154,anticlockwise,-19,-15
48,99,58,127,"(0,18] degrees",left,-0.4,70,48,clockwise,10,28
157,5,172,36,"(18,36] degrees",right,0.4,2,5,clockwise,31,15
83,154,78,120,"(0,18] degrees",neutral,-0.4,100,83,anticlockwise,-5,-34
75,135,40,118,"(18,36] degrees",left,-0.4,60,75,anticlockwise,-35,-17
167,53,195,69,"(0,18] degrees",right,0.4,86,53,clockwise,16,28
178,27,184,54,"(18,36] degrees",neutral,0.4,-4,27,clockwise,27,6
97,152,90,116,"(0,18] degrees",left,-0.4,61,97,anticlockwise,-7,-36
146,113,140,81,"(18,36] degrees",right,0.4,150,113,anticlockwise,-32,-6
54,167,67,199,"(0,18] degrees",neutral,-0.4,73,54,clockwise,13,32
41,134,61,137,"(18,36] degrees",left,-0.4,11,41,clockwise,20,3
