left_gabor_ori,right_gabor_ori,left_distractor_ori,right_distractor_ori,similarity_range,cue,probe_x,probe_ori,correct_response,rotate_direction,similarity,another_similarity
160,112,175,137,"(0,18] degrees",neutral,-0.4,163,160,clockwise,15,25
50,104,82,109,"(18,36] degrees",left,-0.4,74,50,clockwise,32,5
26,59,6,42,"(0,18] degrees",right,0.4,74,59,anticlockwise,-17,-20
166,145,157,117,"(18,36] degrees",neutral,0.4,190,145,anticlockwise,-28,-9
119,67,126,88,"(0,18] degrees",left,-0.4,159,119,clockwise,7,21
37,161,48,187,"(18,36] degrees",right,0.4,129,161,clockwise,26,11
155,21,142,1,"(0,18] degrees",neutral,-0.4,142,155,anticlockwise,-13,-20
14,58,-15,52,"(18,36] degrees",left,-0.4,21,14,anticlockwise,-29,-6
90,57,126,60,"(0,18] degrees",right,0.4,97,57,clockwise,3,36
46,80,55,103,"(18,36] degrees",neutral,0.4,63,80,clockwise,23,9
22,129,8,106,"(0,18] degrees",left,-0.4,19,22,anticlockwise,-14,-23
140,25,138,0,"(18,36] degrees",right,0.4,25,25,anticlockwise,-25,-2
165,30,167,53,"(0,18] degrees",neutral,-0.4,150,165,clockwise,2,23
