left_gabor_ori,right_gabor_ori,left_distractor_ori,right_distractor_ori,similarity_range,cue,probe_x,probe_ori,correct_response,rotate_direction,similarity,another_similarity
111,13,148,42,"[25,45] degrees",neutral,-0.4,97,111,clockwise,37,29
155,103,192,143,"[25,45] degrees",left,-0.4,112,155,clockwise,37,40
62,11,85,44,"[25,45] degrees",neutral,0.4,48,11,clockwise,33,23
70,3,115,23,"[25,45] degrees",right,0.4,0,3,clockwise,20,45
134,86,158,119,"[25,45] degrees",neutral,-0.4,171,134,clockwise,24,33
41,75,72,104,"[25,45] degrees",left,-0.4,52,41,clockwise,31,29
35,126,74,166,"[25,45] degrees",neutral,0.4,106,126,clockwise,40,39
4,85,37,126,"[25,45] degrees",right,0.4,76,85,clockwise,41,33
0,59,34,89,"[25,45] degrees",neutral,-0.4,-40,0,clockwise,34,30
30,3,69,29,"[25,45] degrees",left,-0.4,-15,30,clockwise,39,26
91,54,119,86,"[25,45] degrees",neutral,0.4,15,54,clockwise,32,28
25,76,49,116,"[25,45] degrees",right,0.4,95,76,clockwise,40,24
99,27,141,62,"[25,45] degrees",neutral,-0.4,105,99,clockwise,42,35
74,49,113,82,"[25,45] degrees",left,-0.4,95,74,clockwise,39,33
13,94,56,136,"[25,45] degrees",neutral,0.4,49,94,clockwise,42,43
47,13,91,49,"[25,45] degrees",right,0.4,32,13,clockwise,36,44
173,16,201,46,"[25,45] degrees",neutral,-0.4,135,173,clockwise,28,30
98,42,122,63,"[25,45] degrees",left,-0.4,69,98,clockwise,24,21
126,172,153,214,"[25,45] degrees",neutral,0.4,209,172,clockwise,42,27
94,133,126,168,"[25,45] degrees",right,0.4,91,133,clockwise,35,32
159,72,188,96,"[25,45] degrees",neutral,-0.4,186,159,clockwise,29,24
68,117,97,156,"[25,45] degrees",left,-0.4,27,68,clockwise,29,39
141,97,181,125,"[25,45] degrees",neutral,0.4,114,97,clockwise,28,40
75,149,119,170,"[25,45] degrees",right,0.4,156,149,clockwise,21,44
42,140,79,166,"[25,45] degrees",neutral,-0.4,25,42,clockwise,37,26
92,177,129,202,"[25,45] degrees",left,-0.4,108,92,clockwise,37,25
135,78,164,107,"[25,45] degrees",neutral,0.4,106,78,clockwise,29,29
153,66,194,103,"[25,45] degrees",right,0.4,104,66,clockwise,37,41
55,167,94,201,"[25,45] degrees",neutral,-0.4,95,55,clockwise,39,34
