left_gabor_ori,right_gabor_ori,left_distractor_ori,right_distractor_ori,similarity_range,cue,probe_x,probe_ori,correct_response,rotate_direction,similarity,another_similarity
47,7,84,51,"[25,45] degrees",neutral,-0.4,73,47,clockwise,37,44
140,68,161,112,"[25,45] degrees",left,-0.4,145,140,clockwise,21,44
19,80,61,123,"[25,45] degrees",neutral,0.4,108,80,clockwise,43,42
43,10,79,54,"[25,45] degrees",right,0.4,14,10,clockwise,44,36
152,97,177,132,"[25,45] degrees",neutral,-0.4,114,152,clockwise,25,35
174,112,201,132,"[25,45] degrees",left,-0.4,175,174,clockwise,27,20
115,25,87,-10,"[25,45] degrees",neutral,0.4,-20,25,anticlockwise,-35,-28
44,159,15,126,"[25,45] degrees",right,0.4,117,159,anticlockwise,-33,-29
49,25,20,-13,"[25,45] degrees",neutral,-0.4,25,49,anticlockwise,-29,-38
104,68,69,40,"[25,45] degrees",left,-0.4,91,104,anticlockwise,-35,-28
70,10,34,-34,"[25,45] degrees",neutral,0.4,25,10,anticlockwise,-44,-36
155,26,110,4,"[25,45] degrees",right,0.4,30,26,anticlockwise,-22,-45
169,23,135,-16,"[25,45] degrees",neutral,-0.4,128,169,anticlockwise,-34,-39
