left_gabor_ori,right_gabor_ori,left_distractor_ori,right_distractor_ori,similarity_range,cue,probe_x,probe_ori,correct_response,rotate_direction,similarity,another_similarity
39,127,71,151,"[25,45] degrees",neutral,-0.4,2,39,clockwise,32,24
119,1,150,46,"[25,45] degrees",left,-0.4,84,119,clockwise,31,45
38,133,81,178,"[25,45] degrees",neutral,0.4,141,133,clockwise,45,43
161,6,190,47,"[25,45] degrees",right,0.4,28,6,clockwise,41,29
20,147,62,188,"[25,45] degrees",neutral,-0.4,-5,20,clockwise,42,41
149,56,176,99,"[25,45] degrees",left,-0.4,153,149,clockwise,27,43
26,0,61,20,"[25,45] degrees",neutral,0.4,-7,0,clockwise,20,35
11,76,53,107,"[25,45] degrees",right,0.4,79,76,clockwise,31,42
120,156,143,193,"[25,45] degrees",neutral,-0.4,156,120,clockwise,23,37
105,62,143,99,"[25,45] degrees",left,-0.4,83,105,clockwise,38,37
150,61,182,88,"[25,45] degrees",neutral,0.4,95,61,clockwise,27,32
139,105,166,135,"[25,45] degrees",right,0.4,97,105,clockwise,30,27
148,60,191,93,"[25,45] degrees",neutral,-0.4,169,148,clockwise,43,33
35,171,57,207,"[25,45] degrees",left,-0.4,16,35,clockwise,22,36
49,114,83,137,"[25,45] degrees",neutral,0.4,78,114,clockwise,23,34
36,9,81,31,"[25,45] degrees",right,0.4,-36,9,clockwise,22,45
10,111,32,142,"[25,45] degrees",neutral,-0.4,2,10,clockwise,22,31
84,8,123,38,"[25,45] degrees",left,-0.4,54,84,clockwise,39,30
163,83,205,117,"[25,45] degrees",neutral,0.4,45,83,clockwise,34,42
147,106,177,132,"[25,45] degrees",right,0.4,104,106,clockwise,26,30
105,157,146,187,"[25,45] degrees",neutral,-0.4,67,105,clockwise,41,30
46,177,90,205,"[25,45] degrees",left,-0.4,6,46,clockwise,44,28
88,131,127,163,"[25,45] degrees",neutral,0.4,89,131,clockwise,32,39
126,28,162,62,"[25,45] degrees",right,0.4,-1,28,clockwise,34,36
65,113,85,145,"[25,45] degrees",neutral,-0.4,66,65,clockwise,20,32
40,151,79,179,"[25,45] degrees",left,-0.4,73,40,clockwise,39,28
