left_gabor_ori,right_gabor_ori,left_distractor_ori,right_distractor_ori,similarity_range,cue,probe_x,probe_ori,correct_response,rotate_direction,similarity
152,58,167,24,"(0,18] degrees",neutral,-0.4,133,152,clockwise,15
13,54,34,146,"(18,36] degrees",left,-0.4,13,13,clockwise,21
159,138,15,121,"(0,18] degrees",right,0.4,125,138,anticlockwise,-17
82,110,50,76,"(18,36] degrees",neutral,0.4,124,110,anticlockwise,-34
102,135,103,165,"(0,18] degrees",left,-0.4,69,102,clockwise,1
3,116,13,150,"(18,36] degrees",right,0.4,114,116,clockwise,34
169,113,158,81,"(0,18] degrees",neutral,-0.4,185,169,anticlockwise,-11
61,120,34,103,"(18,36] degrees",left,-0.4,96,61,anticlockwise,-27
156,44,31,59,"(0,18] degrees",right,0.4,15,44,clockwise,15
28,96,71,122,"(18,36] degrees",neutral,0.4,80,96,clockwise,26
13,165,11,112,"(0,18] degrees",left,-0.4,23,13,anticlockwise,-2
9,79,176,56,"(18,36] degrees",right,0.4,121,79,anticlockwise,-23
153,43,154,116,"(0,18] degrees",neutral,-0.4,142,153,clockwise,1
95,162,116,148,"(18,36] degrees",left,-0.4,95,95,clockwise,21
107,77,81,60,"(0,18] degrees",right,0.4,51,77,anticlockwise,-17
106,45,110,24,"(18,36] degrees",neutral,0.4,14,45,anticlockwise,-21
44,110,62,174,"(0,18] degrees",left,-0.4,47,44,clockwise,18
15,56,117,80,"(18,36] degrees",right,0.4,34,56,clockwise,24
105,76,99,57,"(0,18] degrees",neutral,-0.4,79,105,anticlockwise,-6
172,31,138,9,"(18,36] degrees",left,-0.4,151,172,anticlockwise,-34
71,18,98,33,"(0,18] degrees",right,0.4,-7,18,clockwise,15
17,157,88,177,"(18,36] degrees",neutral,0.4,166,157,clockwise,20
111,176,95,120,"(0,18] degrees",left,-0.4,67,111,anticlockwise,-16
25,175,90,155,"(18,36] degrees",right,0.4,215,175,anticlockwise,-20
44,160,54,120,"(0,18] degrees",neutral,-0.4,74,44,clockwise,10
24,82,53,133,"(18,36] degrees",left,-0.4,45,24,clockwise,29
100,169,34,156,"(0,18] degrees",right,0.4,140,169,anticlockwise,-13
167,60,124,26,"(18,36] degrees",neutral,0.4,79,60,anticlockwise,-34
111,131,121,147,"(0,18] degrees",left,-0.4,87,111,clockwise,10
153,66,15,85,"(18,36] degrees",right,0.4,36,66,clockwise,19
49,160,42,153,"(0,18] degrees",neutral,-0.4,66,49,anticlockwise,-7
87,130,62,116,"(18,36] degrees",left,-0.4,90,87,anticlockwise,-25
164,96,172,108,"(0,18] degrees",right,0.4,87,96,clockwise,12
95,54,111,76,"(18,36] degrees",neutral,0.4,88,54,clockwise,22
48,27,47,157,"(0,18] degrees",left,-0.4,3,48,anticlockwise,-1
109,63,121,44,"(18,36] degrees",right,0.4,106,63,anticlockwise,-19
160,54,168,45,"(0,18] degrees",neutral,-0.4,179,160,clockwise,8
101,52,122,144,"(18,36] degrees",left,-0.4,138,101,clockwise,21
108,54,22,52,"(0,18] degrees",right,0.4,67,54,anticlockwise,-2
174,94,167,60,"(18,36] degrees",neutral,0.4,91,94,anticlockwise,-34
75,117,86,173,"(0,18] degrees",left,-0.4,70,75,clockwise,11
140,103,48,128,"(18,36] degrees",right,0.4,73,103,clockwise,25
102,10,90,63,"(0,18] degrees",neutral,-0.4,124,102,anticlockwise,-12
100,121,64,107,"(18,36] degrees",left,-0.4,79,100,anticlockwise,-36
118,72,109,77,"(0,18] degrees",right,0.4,100,72,clockwise,5
80,122,32,151,"(18,36] degrees",neutral,0.4,102,122,clockwise,29
15,69,11,71,"(0,18] degrees",left,-0.4,-30,15,anticlockwise,-4
146,96,141,65,"(18,36] degrees",right,0.4,111,96,anticlockwise,-31
22,87,39,169,"(0,18] degrees",neutral,-0.4,33,22,clockwise,17
132,58,161,84,"(18,36] degrees",left,-0.4,128,132,clockwise,29
73,39,161,37,"(0,18] degrees",right,0.4,74,39,anticlockwise,-2
124,62,92,36,"(18,36] degrees",neutral,0.4,99,62,anticlockwise,-26
178,22,192,73,"(0,18] degrees",left,-0.4,153,178,clockwise,14
44,97,63,128,"(18,36] degrees",right,0.4,72,97,clockwise,31
142,76,126,17,"(0,18] degrees",neutral,-0.4,157,142,anticlockwise,-16
168,80,145,98,"(18,36] degrees",left,-0.4,212,168,anticlockwise,-23
94,46,141,51,"(0,18] degrees",right,0.4,75,46,clockwise,5
117,78,11,98,"(18,36] degrees",neutral,0.4,60,78,clockwise,20
170,74,152,30,"(0,18] degrees",left,-0.4,162,170,anticlockwise,-18
65,12,99,-24,"(18,36] degrees",right,0.4,23,12,anticlockwise,-36
131,47,138,57,"(0,18] degrees",neutral,-0.4,149,131,clockwise,7
179,74,211,98,"(18,36] degrees",left,-0.4,151,179,clockwise,32
70,158,97,148,"(0,18] degrees",right,0.4,140,158,anticlockwise,-10
65,107,176,82,"(18,36] degrees",neutral,0.4,132,107,anticlockwise,-25
108,71,123,20,"(0,18] degrees",left,-0.4,80,108,clockwise,15
37,152,116,181,"(18,36] degrees",right,0.4,186,152,clockwise,29
174,27,171,145,"(0,18] degrees",neutral,-0.4,177,174,anticlockwise,-3
3,45,-22,135,"(18,36] degrees",left,-0.4,26,3,anticlockwise,-25
146,93,122,94,"(0,18] degrees",right,0.4,50,93,clockwise,1
108,8,125,27,"(18,36] degrees",neutral,0.4,17,8,clockwise,19
148,120,132,51,"(0,18] degrees",left,-0.4,125,148,anticlockwise,-16
48,159,165,139,"(18,36] degrees",right,0.4,194,159,anticlockwise,-20
113,36,120,9,"(0,18] degrees",neutral,-0.4,128,113,clockwise,7
170,135,204,161,"(18,36] degrees",left,-0.4,188,170,clockwise,34
168,124,22,110,"(0,18] degrees",right,0.4,139,124,anticlockwise,-14
169,53,134,25,"(18,36] degrees",neutral,0.4,79,53,anticlockwise,-28
106,173,119,147,"(0,18] degrees",left,-0.4,135,106,clockwise,13
36,177,70,198,"(18,36] degrees",right,0.4,139,177,clockwise,21
69,22,62,111,"(0,18] degrees",neutral,-0.4,109,69,anticlockwise,-7
41,124,13,48,"(18,36] degrees",left,-0.4,62,41,anticlockwise,-28
13,85,139,91,"(0,18] degrees",right,0.4,54,85,clockwise,6
103,30,108,51,"(18,36] degrees",neutral,0.4,-5,30,clockwise,21
15,59,10,97,"(0,18] degrees",left,-0.4,19,15,anticlockwise,-5
123,17,127,-12,"(18,36] degrees",right,0.4,16,17,anticlockwise,-29
56,117,71,7,"(0,18] degrees",neutral,-0.4,73,56,clockwise,15
90,10,120,47,"(18,36] degrees",left,-0.4,128,90,clockwise,30
3,30,66,20,"(0,18] degrees",right,0.4,34,30,anticlockwise,-10
170,27,44,-2,"(18,36] degrees",neutral,0.4,-8,27,anticlockwise,-29
121,148,138,111,"(0,18] degrees",left,-0.4,139,121,clockwise,17
152,118,77,143,"(18,36] degrees",right,0.4,86,118,clockwise,25
90,115,79,119,"(0,18] degrees",neutral,-0.4,82,90,anticlockwise,-11
129,1,104,159,"(18,36] degrees",left,-0.4,167,129,anticlockwise,-25
58,8,65,25,"(0,18] degrees",right,0.4,-4,8,clockwise,17
153,81,57,114,"(18,36] degrees",neutral,0.4,101,81,clockwise,33
43,175,39,169,"(0,18] degrees",left,-0.4,82,43,anticlockwise,-4
28,134,46,102,"(18,36] degrees",right,0.4,128,134,anticlockwise,-32
138,103,154,80,"(0,18] degrees",neutral,-0.4,150,138,clockwise,16
20,57,49,26,"(18,36] degrees",left,-0.4,6,20,clockwise,29
103,74,8,59,"(0,18] degrees",right,0.4,112,74,anticlockwise,-15
112,21,120,-7,"(18,36] degrees",neutral,0.4,40,21,anticlockwise,-28
104,58,107,49,"(0,18] degrees",left,-0.4,113,104,clockwise,3
18,72,127,97,"(18,36] degrees",right,0.4,97,72,clockwise,25
140,11,129,36,"(0,18] degrees",neutral,-0.4,103,140,anticlockwise,-11
64,132,28,161,"(18,36] degrees",left,-0.4,87,64,anticlockwise,-36
75,160,109,165,"(0,18] degrees",right,0.4,140,160,clockwise,5
5,136,60,160,"(18,36] degrees",neutral,0.4,111,136,clockwise,24
4,144,-4,49,"(0,18] degrees",left,-0.4,-31,4,anticlockwise,-8
127,50,68,19,"(18,36] degrees",right,0.4,92,50,anticlockwise,-31
93,130,109,71,"(0,18] degrees",neutral,-0.4,68,93,clockwise,16
122,144,152,114,"(18,36] degrees",left,-0.4,162,122,clockwise,30
140,11,100,4,"(0,18] degrees",right,0.4,36,11,anticlockwise,-7
145,167,108,142,"(18,36] degrees",neutral,0.4,190,167,anticlockwise,-25
77,54,79,21,"(0,18] degrees",left,-0.4,100,77,clockwise,2
138,87,96,123,"(18,36] degrees",right,0.4,127,87,clockwise,36
113,86,109,2,"(0,18] degrees",neutral,-0.4,138,113,anticlockwise,-4
1,79,-34,115,"(18,36] degrees",left,-0.4,-8,1,anticlockwise,-35
87,151,5,159,"(0,18] degrees",right,0.4,120,151,clockwise,8
5,134,103,156,"(18,36] degrees",neutral,0.4,175,134,clockwise,22
103,146,97,74,"(0,18] degrees",left,-0.4,129,103,anticlockwise,-6
141,76,89,46,"(18,36] degrees",right,0.4,112,76,anticlockwise,-30
104,154,112,47,"(0,18] degrees",neutral,-0.4,147,104,clockwise,8
59,19,84,158,"(18,36] degrees",left,-0.4,66,59,clockwise,25
158,80,33,74,"(0,18] degrees",right,0.4,84,80,anticlockwise,-6
22,79,150,47,"(18,36] degrees",neutral,0.4,88,79,anticlockwise,-32
99,34,108,160,"(0,18] degrees",left,-0.4,95,99,clockwise,9
136,33,150,64,"(18,36] degrees",right,0.4,14,33,clockwise,31
61,131,46,17,"(0,18] degrees",neutral,-0.4,21,61,anticlockwise,-15
48,78,15,165,"(18,36] degrees",left,-0.4,51,48,anticlockwise,-33
11,98,7,105,"(0,18] degrees",right,0.4,94,98,clockwise,7
34,10,137,44,"(18,36] degrees",neutral,0.4,-24,10,clockwise,34
179,149,161,62,"(0,18] degrees",left,-0.4,182,179,anticlockwise,-18
128,87,159,59,"(18,36] degrees",right,0.4,45,87,anticlockwise,-28
2,142,7,65,"(0,18] degrees",neutral,-0.4,32,2,clockwise,5
90,43,109,56,"(18,36] degrees",left,-0.4,84,90,clockwise,19
107,167,27,158,"(0,18] degrees",right,0.4,126,167,anticlockwise,-9
62,19,148,-6,"(18,36] degrees",neutral,0.4,36,19,anticlockwise,-25
2,119,18,40,"(0,18] degrees",left,-0.4,7,2,clockwise,16
159,123,74,153,"(18,36] degrees",right,0.4,135,123,clockwise,30
25,70,17,89,"(0,18] degrees",neutral,-0.4,23,25,anticlockwise,-8
11,83,-13,28,"(18,36] degrees",left,-0.4,4,11,anticlockwise,-24
162,9,133,26,"(0,18] degrees",right,0.4,0,9,clockwise,17
31,80,8,100,"(18,36] degrees",neutral,0.4,63,80,clockwise,20
48,6,43,16,"(0,18] degrees",left,-0.4,66,48,anticlockwise,-5
114,75,1,49,"(18,36] degrees",right,0.4,45,75,anticlockwise,-26
32,127,44,110,"(0,18] degrees",neutral,-0.4,30,32,clockwise,12
35,169,54,168,"(18,36] degrees",left,-0.4,35,35,clockwise,19
41,149,37,136,"(0,18] degrees",right,0.4,107,149,anticlockwise,-13
127,71,130,50,"(18,36] degrees",neutral,0.4,72,71,anticlockwise,-21
76,148,85,9,"(0,18] degrees",left,-0.4,73,76,clockwise,9
125,1,124,33,"(18,36] degrees",right,0.4,44,1,clockwise,32
164,17,157,84,"(0,18] degrees",neutral,-0.4,186,164,anticlockwise,-7
115,58,96,164,"(18,36] degrees",left,-0.4,148,115,anticlockwise,-19
61,98,52,110,"(0,18] degrees",right,0.4,115,98,clockwise,12
4,106,50,142,"(18,36] degrees",neutral,0.4,63,106,clockwise,36
164,57,163,62,"(0,18] degrees",left,-0.4,149,164,anticlockwise,-1
88,120,153,101,"(18,36] degrees",right,0.4,98,120,anticlockwise,-19
162,36,180,156,"(0,18] degrees",neutral,-0.4,194,162,clockwise,18
175,140,199,76,"(18,36] degrees",left,-0.4,178,175,clockwise,24
2,88,125,81,"(0,18] degrees",right,0.4,124,88,anticlockwise,-7
99,124,60,91,"(18,36] degrees",neutral,0.4,115,124,anticlockwise,-33
104,174,112,19,"(0,18] degrees",left,-0.4,132,104,clockwise,8
72,97,84,130,"(18,36] degrees",right,0.4,96,97,clockwise,33
170,43,153,67,"(0,18] degrees",neutral,-0.4,127,170,anticlockwise,-17
53,132,19,145,"(18,36] degrees",left,-0.4,75,53,anticlockwise,-34
100,164,39,168,"(0,18] degrees",right,0.4,199,164,clockwise,4
109,132,4,156,"(18,36] degrees",neutral,0.4,126,132,clockwise,24
93,123,92,19,"(0,18] degrees",left,-0.4,80,93,anticlockwise,-1
155,47,58,11,"(18,36] degrees",right,0.4,69,47,anticlockwise,-36
20,157,28,49,"(0,18] degrees",neutral,-0.4,14,20,clockwise,8
24,124,55,23,"(18,36] degrees",left,-0.4,11,24,clockwise,31
147,54,140,50,"(0,18] degrees",right,0.4,44,54,anticlockwise,-4
124,49,139,13,"(18,36] degrees",neutral,0.4,68,49,anticlockwise,-36
119,96,122,142,"(0,18] degrees",left,-0.4,111,119,clockwise,3
115,76,156,106,"(18,36] degrees",right,0.4,113,76,clockwise,30
