left_gabor_ori,right_gabor_ori,left_distractor_ori,right_distractor_ori,similarity_range,cue,probe_x,probe_ori,correct_response,rotate_direction,similarity
117,145,123,144,"(0,18] degrees",neutral,-0.4,156,117,clockwise,6
156,179,177,70,"(18,36] degrees",left,-0.4,172,156,clockwise,21
67,3,146,50,"(36,54] degrees",right,0.4,21,3,clockwise,47
128,33,137,95,"(54,72] degrees",neutral,0.4,39,33,clockwise,62
28,155,101,49,"(72,90] degrees",left,-0.4,3,28,clockwise,73
24,131,44,117,"(0,18] degrees",right,0.4,125,131,anticlockwise,-14
33,129,-2,56,"(18,36] degrees",neutral,-0.4,-5,33,anticlockwise,-35
62,159,24,147,"(36,54] degrees",left,-0.4,50,62,anticlockwise,-38
99,136,159,64,"(54,72] degrees",right,0.4,178,136,anticlockwise,-72
75,50,13,-32,"(72,90] degrees",neutral,0.4,42,50,anticlockwise,-82
110,0,121,58,"(0,18] degrees",left,-0.4,87,110,clockwise,11
44,71,40,95,"(18,36] degrees",right,0.4,33,71,clockwise,24
124,175,178,128,"(36,54] degrees",neutral,-0.4,167,124,clockwise,54
