left_gabor_ori,right_gabor_ori,left_distractor_ori,right_distractor_ori,similarity_range,cue,probe_x,probe_ori,correct_response,rotate_direction,similarity
66,134,73,124,"(0,18] degrees",neutral,-0.4,109,66,clockwise,7
35,170,64,90,"(18,36] degrees",left,-0.4,33,35,clockwise,29
58,127,29,124,"(0,18] degrees",right,0.4,85,127,anticlockwise,-3
83,117,110,81,"(18,36] degrees",neutral,0.4,157,117,anticlockwise,-36
102,77,109,164,"(0,18] degrees",left,-0.4,61,102,clockwise,7
91,48,129,72,"(18,36] degrees",right,0.4,85,48,clockwise,24
9,68,-7,137,"(0,18] degrees",neutral,-0.4,46,9,anticlockwise,-16
81,10,52,13,"(18,36] degrees",left,-0.4,66,81,anticlockwise,-29
28,152,25,157,"(0,18] degrees",right,0.4,107,152,clockwise,5
66,159,76,194,"(18,36] degrees",neutral,0.4,124,159,clockwise,35
24,44,6,148,"(0,18] degrees",left,-0.4,-1,24,anticlockwise,-18
118,21,22,-15,"(18,36] degrees",right,0.4,-3,21,anticlockwise,-36
169,18,178,146,"(0,18] degrees",neutral,-0.4,129,169,clockwise,9
8,47,40,108,"(18,36] degrees",left,-0.4,-23,8,clockwise,32
118,139,76,124,"(0,18] degrees",right,0.4,176,139,anticlockwise,-15
95,119,5,94,"(18,36] degrees",neutral,0.4,77,119,anticlockwise,-25
140,75,150,24,"(0,18] degrees",left,-0.4,180,140,clockwise,10
22,100,155,122,"(18,36] degrees",right,0.4,64,100,clockwise,22
92,145,78,35,"(0,18] degrees",neutral,-0.4,79,92,anticlockwise,-14
78,116,47,162,"(18,36] degrees",left,-0.4,74,78,anticlockwise,-31
56,0,77,14,"(0,18] degrees",right,0.4,-41,0,clockwise,14
80,41,17,66,"(18,36] degrees",neutral,0.4,30,41,clockwise,25
23,177,7,38,"(0,18] degrees",left,-0.4,24,23,anticlockwise,-16
70,49,124,27,"(18,36] degrees",right,0.4,32,49,anticlockwise,-22
121,149,138,56,"(0,18] degrees",neutral,-0.4,77,121,clockwise,17
67,174,101,171,"(18,36] degrees",left,-0.4,40,67,clockwise,34
117,89,9,74,"(0,18] degrees",right,0.4,129,89,anticlockwise,-15
160,53,77,25,"(18,36] degrees",neutral,0.4,98,53,anticlockwise,-28
169,107,172,55,"(0,18] degrees",left,-0.4,214,169,clockwise,3
123,47,162,66,"(18,36] degrees",right,0.4,42,47,clockwise,19
167,50,155,41,"(0,18] degrees",neutral,-0.4,138,167,anticlockwise,-12
158,132,124,68,"(18,36] degrees",left,-0.4,147,158,anticlockwise,-34
55,94,34,95,"(0,18] degrees",right,0.4,94,94,clockwise,1
121,27,17,59,"(18,36] degrees",neutral,0.4,22,27,clockwise,32
92,156,90,50,"(0,18] degrees",left,-0.4,110,92,anticlockwise,-2
173,129,58,96,"(18,36] degrees",right,0.4,136,129,anticlockwise,-33
11,144,14,142,"(0,18] degrees",neutral,-0.4,2,11,clockwise,3
149,43,168,46,"(18,36] degrees",left,-0.4,141,149,clockwise,19
126,17,95,16,"(0,18] degrees",right,0.4,41,17,anticlockwise,-1
102,138,74,112,"(18,36] degrees",neutral,0.4,93,138,anticlockwise,-26
120,8,123,151,"(0,18] degrees",left,-0.4,108,120,clockwise,3
52,76,168,110,"(18,36] degrees",right,0.4,76,76,clockwise,34
78,141,68,173,"(0,18] degrees",neutral,-0.4,81,78,anticlockwise,-10
20,66,-3,127,"(18,36] degrees",left,-0.4,52,20,anticlockwise,-23
75,111,154,119,"(0,18] degrees",right,0.4,149,111,clockwise,8
128,75,162,100,"(18,36] degrees",neutral,0.4,67,75,clockwise,25
120,150,106,149,"(0,18] degrees",left,-0.4,94,120,anticlockwise,-14
176,59,147,29,"(18,36] degrees",right,0.4,75,59,anticlockwise,-30
174,119,183,50,"(0,18] degrees",neutral,-0.4,206,174,clockwise,9
84,22,118,83,"(18,36] degrees",left,-0.4,83,84,clockwise,34
133,166,61,155,"(0,18] degrees",right,0.4,139,166,anticlockwise,-11
11,158,80,124,"(18,36] degrees",neutral,0.4,133,158,anticlockwise,-34
12,71,29,146,"(0,18] degrees",left,-0.4,-19,12,clockwise,17
6,132,47,165,"(18,36] degrees",right,0.4,160,132,clockwise,33
122,97,115,20,"(0,18] degrees",neutral,-0.4,78,122,anticlockwise,-7
93,171,70,97,"(18,36] degrees",left,-0.4,126,93,anticlockwise,-23
101,139,31,144,"(0,18] degrees",right,0.4,130,139,clockwise,5
159,49,163,83,"(18,36] degrees",neutral,0.4,61,49,clockwise,34
86,40,72,104,"(0,18] degrees",left,-0.4,90,86,anticlockwise,-14
165,38,121,12,"(18,36] degrees",right,0.4,-2,38,anticlockwise,-26
164,33,167,70,"(0,18] degrees",neutral,-0.4,198,164,clockwise,3
17,54,41,125,"(18,36] degrees",left,-0.4,28,17,clockwise,24
121,74,5,65,"(0,18] degrees",right,0.4,77,74,anticlockwise,-9
157,16,132,-16,"(18,36] degrees",neutral,0.4,-5,16,anticlockwise,-32
6,96,21,66,"(0,18] degrees",left,-0.4,44,6,clockwise,15
100,58,19,84,"(18,36] degrees",right,0.4,29,58,clockwise,26
53,111,52,77,"(0,18] degrees",neutral,-0.4,66,53,anticlockwise,-1
24,165,-9,16,"(18,36] degrees",left,-0.4,39,24,anticlockwise,-33
9,129,82,133,"(0,18] degrees",right,0.4,139,129,clockwise,4
169,98,11,129,"(18,36] degrees",neutral,0.4,115,98,clockwise,31
105,69,90,63,"(0,18] degrees",left,-0.4,106,105,anticlockwise,-15
49,125,126,102,"(18,36] degrees",right,0.4,130,125,anticlockwise,-23
175,127,188,92,"(0,18] degrees",neutral,-0.4,140,175,clockwise,13
5,119,40,17,"(18,36] degrees",left,-0.4,9,5,clockwise,35
109,166,45,158,"(0,18] degrees",right,0.4,171,166,anticlockwise,-8
153,17,26,-12,"(18,36] degrees",neutral,0.4,18,17,anticlockwise,-29
119,152,123,89,"(0,18] degrees",left,-0.4,84,119,clockwise,4
147,81,59,113,"(18,36] degrees",right,0.4,109,81,clockwise,32
42,81,24,156,"(0,18] degrees",neutral,-0.4,60,42,anticlockwise,-18
95,5,68,96,"(18,36] degrees",left,-0.4,140,95,anticlockwise,-27
60,27,66,33,"(0,18] degrees",right,0.4,11,27,clockwise,6
