left_gabor_ori,right_gabor_ori,left_distractor_ori,right_distractor_ori,similarity_range,cue,probe_x,probe_ori,correct_response,rotate_direction,similarity
41,152,53,24,"(0,18] degrees",neutral,-0.4,53,41,clockwise,12
99,147,131,156,"(18,36] degrees",left,-0.4,125,99,clockwise,32
80,7,63,-8,"(0,18] degrees",right,0.4,30,7,anticlockwise,-15
178,49,99,21,"(18,36] degrees",neutral,0.4,83,49,anticlockwise,-28
49,86,61,41,"(0,18] degrees",left,-0.4,28,49,clockwise,12
109,26,28,61,"(18,36] degrees",right,0.4,57,26,clockwise,35
89,35,88,165,"(0,18] degrees",neutral,-0.4,98,89,anticlockwise,-1
103,21,78,99,"(18,36] degrees",left,-0.4,94,103,anticlockwise,-25
148,48,87,52,"(0,18] degrees",right,0.4,72,48,clockwise,4
51,162,138,196,"(18,36] degrees",neutral,0.4,150,162,clockwise,34
110,71,107,132,"(0,18] degrees",left,-0.4,80,110,anticlockwise,-3
57,92,85,64,"(18,36] degrees",right,0.4,71,92,anticlockwise,-28
88,68,94,167,"(0,18] degrees",neutral,-0.4,54,88,clockwise,6
55,112,75,172,"(18,36] degrees",left,-0.4,38,55,clockwise,20
20,91,34,75,"(0,18] degrees",right,0.4,121,91,anticlockwise,-16
132,39,44,12,"(18,36] degrees",neutral,0.4,20,39,anticlockwise,-27
162,103,172,110,"(0,18] degrees",left,-0.4,123,162,clockwise,10
6,134,78,162,"(18,36] degrees",right,0.4,147,134,clockwise,28
133,12,123,167,"(0,18] degrees",neutral,-0.4,92,133,anticlockwise,-10
32,142,-1,58,"(18,36] degrees",left,-0.4,70,32,anticlockwise,-33
88,121,75,133,"(0,18] degrees",right,0.4,121,121,clockwise,12
110,155,88,186,"(18,36] degrees",neutral,0.4,180,155,clockwise,31
87,142,85,145,"(0,18] degrees",left,-0.4,66,87,anticlockwise,-2
8,53,113,22,"(18,36] degrees",right,0.4,58,53,anticlockwise,-31
6,121,7,143,"(0,18] degrees",neutral,-0.4,41,6,clockwise,1
58,107,82,142,"(18,36] degrees",left,-0.4,40,58,clockwise,24
172,128,6,112,"(0,18] degrees",right,0.4,105,128,anticlockwise,-16
176,46,89,17,"(18,36] degrees",neutral,0.4,26,46,anticlockwise,-29
19,67,30,151,"(0,18] degrees",left,-0.4,-18,19,clockwise,11
127,89,133,112,"(18,36] degrees",right,0.4,70,89,clockwise,23
53,15,50,84,"(0,18] degrees",neutral,-0.4,49,53,anticlockwise,-3
21,55,-9,51,"(18,36] degrees",left,-0.4,22,21,anticlockwise,-30
0,147,49,161,"(0,18] degrees",right,0.4,151,147,clockwise,14
167,7,129,31,"(18,36] degrees",neutral,0.4,-25,7,clockwise,24
83,36,79,16,"(0,18] degrees",left,-0.4,88,83,anticlockwise,-4
30,66,160,47,"(18,36] degrees",right,0.4,56,66,anticlockwise,-19
114,25,128,174,"(0,18] degrees",neutral,-0.4,111,114,clockwise,14
72,126,104,159,"(18,36] degrees",left,-0.4,27,72,clockwise,32
133,154,46,144,"(0,18] degrees",right,0.4,159,154,anticlockwise,-10
124,146,41,121,"(18,36] degrees",neutral,0.4,191,146,anticlockwise,-25
