left_gabor_ori,right_gabor_ori,left_distractor_ori,right_distractor_ori,similarity_range,cue,probe_x,probe_ori,correct_response,rotate_direction,similarity
47,160,58,120,"(0,18] degrees",neutral,-0.4,57,47,clockwise,11
116,57,151,39,"(18,36] degrees",left,-0.4,115,116,clockwise,35
126,175,33,166,"(0,18] degrees",right,0.4,201,175,anticlockwise,-9
163,41,92,9,"(18,36] degrees",neutral,0.4,10,41,anticlockwise,-32
147,56,161,110,"(0,18] degrees",left,-0.4,182,147,clockwise,14
112,134,37,162,"(18,36] degrees",right,0.4,120,134,clockwise,28
179,124,162,49,"(0,18] degrees",neutral,-0.4,171,179,anticlockwise,-17
77,17,51,152,"(18,36] degrees",left,-0.4,32,77,anticlockwise,-26
28,51,121,55,"(0,18] degrees",right,0.4,10,51,clockwise,4
15,62,164,81,"(18,36] degrees",neutral,0.4,20,62,clockwise,19
66,174,64,5,"(0,18] degrees",left,-0.4,91,66,anticlockwise,-2
85,161,160,132,"(18,36] degrees",right,0.4,123,161,anticlockwise,-29
149,77,160,97,"(0,18] degrees",neutral,-0.4,157,149,clockwise,11
43,12,76,21,"(18,36] degrees",left,-0.4,88,43,clockwise,33
72,116,171,106,"(0,18] degrees",right,0.4,147,116,anticlockwise,-10
45,113,153,82,"(18,36] degrees",neutral,0.4,158,113,anticlockwise,-31
50,172,61,108,"(0,18] degrees",left,-0.4,67,50,clockwise,11
70,37,39,71,"(18,36] degrees",right,0.4,15,37,clockwise,34
16,129,3,48,"(0,18] degrees",neutral,-0.4,33,16,anticlockwise,-13
118,159,88,63,"(18,36] degrees",left,-0.4,115,118,anticlockwise,-30
75,150,59,152,"(0,18] degrees",right,0.4,151,150,clockwise,2
116,60,13,93,"(18,36] degrees",neutral,0.4,34,60,clockwise,33
9,35,5,29,"(0,18] degrees",left,-0.4,-24,9,anticlockwise,-4
70,22,87,-1,"(18,36] degrees",right,0.4,22,22,anticlockwise,-23
66,143,68,158,"(0,18] degrees",neutral,-0.4,24,66,clockwise,2
158,91,179,41,"(18,36] degrees",left,-0.4,163,158,clockwise,21
178,53,142,52,"(0,18] degrees",right,0.4,19,53,anticlockwise,-1
74,31,35,-4,"(18,36] degrees",neutral,0.4,-10,31,anticlockwise,-35
104,62,115,11,"(0,18] degrees",left,-0.4,120,104,clockwise,11
116,86,164,117,"(18,36] degrees",right,0.4,63,86,clockwise,31
155,17,142,2,"(0,18] degrees",neutral,-0.4,144,155,anticlockwise,-13
138,46,114,37,"(18,36] degrees",left,-0.4,177,138,anticlockwise,-24
61,162,89,166,"(0,18] degrees",right,0.4,139,162,clockwise,4
24,70,67,106,"(18,36] degrees",neutral,0.4,31,70,clockwise,36
32,145,29,159,"(0,18] degrees",left,-0.4,3,32,anticlockwise,-3
7,48,84,12,"(18,36] degrees",right,0.4,39,48,anticlockwise,-36
69,46,84,120,"(0,18] degrees",neutral,-0.4,79,69,clockwise,15
152,175,177,55,"(18,36] degrees",left,-0.4,135,152,clockwise,25
160,105,128,93,"(0,18] degrees",right,0.4,83,105,anticlockwise,-12
83,179,99,151,"(18,36] degrees",neutral,0.4,143,179,anticlockwise,-28
130,53,139,48,"(0,18] degrees",left,-0.4,137,130,clockwise,9
96,161,148,196,"(18,36] degrees",right,0.4,155,161,clockwise,35
175,40,164,72,"(0,18] degrees",neutral,-0.4,205,175,anticlockwise,-11
102,1,75,14,"(18,36] degrees",left,-0.4,112,102,anticlockwise,-27
39,126,154,134,"(0,18] degrees",right,0.4,149,126,clockwise,8
145,84,53,118,"(18,36] degrees",neutral,0.4,118,84,clockwise,34
8,117,-2,136,"(0,18] degrees",left,-0.4,31,8,anticlockwise,-10
66,8,105,-21,"(18,36] degrees",right,0.4,-15,8,anticlockwise,-29
142,3,152,174,"(0,18] degrees",neutral,-0.4,159,142,clockwise,10
33,89,69,93,"(18,36] degrees",left,-0.4,37,33,clockwise,36
27,132,39,126,"(0,18] degrees",right,0.4,115,132,anticlockwise,-6
4,117,1,95,"(18,36] degrees",neutral,0.4,107,117,anticlockwise,-22
70,104,87,167,"(0,18] degrees",left,-0.4,95,70,clockwise,17
159,117,69,152,"(18,36] degrees",right,0.4,160,117,clockwise,35
43,93,27,163,"(0,18] degrees",neutral,-0.4,-1,43,anticlockwise,-16
115,65,96,57,"(18,36] degrees",left,-0.4,90,115,anticlockwise,-19
36,164,45,165,"(0,18] degrees",right,0.4,200,164,clockwise,1
58,34,162,60,"(18,36] degrees",neutral,0.4,77,34,clockwise,26
31,97,17,87,"(0,18] degrees",left,-0.4,1,31,anticlockwise,-14
90,69,119,48,"(18,36] degrees",right,0.4,52,69,anticlockwise,-21
17,133,28,107,"(0,18] degrees",neutral,-0.4,10,17,clockwise,11
121,75,146,51,"(18,36] degrees",left,-0.4,98,121,clockwise,25
131,55,83,38,"(0,18] degrees",right,0.4,92,55,anticlockwise,-17
165,11,98,-12,"(18,36] degrees",neutral,0.4,-22,11,anticlockwise,-23
78,10,82,136,"(0,18] degrees",left,-0.4,109,78,clockwise,4
144,75,174,98,"(18,36] degrees",right,0.4,90,75,clockwise,23
73,18,70,161,"(0,18] degrees",neutral,-0.4,81,73,anticlockwise,-3
166,83,135,80,"(18,36] degrees",left,-0.4,185,166,anticlockwise,-31
20,52,19,58,"(0,18] degrees",right,0.4,39,52,clockwise,6
41,170,38,193,"(18,36] degrees",neutral,0.4,145,170,clockwise,23
130,67,128,176,"(0,18] degrees",left,-0.4,107,130,anticlockwise,-2
175,72,19,42,"(18,36] degrees",right,0.4,48,72,anticlockwise,-30
154,129,159,120,"(0,18] degrees",neutral,-0.4,175,154,clockwise,5
88,163,124,9,"(18,36] degrees",left,-0.4,77,88,clockwise,36
95,123,63,112,"(0,18] degrees",right,0.4,84,123,anticlockwise,-11
18,49,101,14,"(18,36] degrees",neutral,0.4,23,49,anticlockwise,-35
86,35,96,71,"(0,18] degrees",left,-0.4,74,86,clockwise,10
12,60,120,91,"(18,36] degrees",right,0.4,21,60,clockwise,31
162,65,161,23,"(0,18] degrees",neutral,-0.4,119,162,anticlockwise,-1
175,24,144,76,"(18,36] degrees",left,-0.4,183,175,anticlockwise,-31
50,178,139,184,"(0,18] degrees",right,0.4,179,178,clockwise,6
159,112,106,145,"(18,36] degrees",neutral,0.4,139,112,clockwise,33
81,25,78,50,"(0,18] degrees",left,-0.4,38,81,anticlockwise,-3
92,148,88,126,"(18,36] degrees",right,0.4,140,148,anticlockwise,-22
136,113,139,1,"(0,18] degrees",neutral,-0.4,120,136,clockwise,3
175,114,194,100,"(18,36] degrees",left,-0.4,193,175,clockwise,19
61,3,58,1,"(0,18] degrees",right,0.4,21,3,anticlockwise,-2
25,103,142,83,"(18,36] degrees",neutral,0.4,63,103,anticlockwise,-20
147,62,153,31,"(0,18] degrees",left,-0.4,109,147,clockwise,6
71,129,128,159,"(18,36] degrees",right,0.4,159,129,clockwise,30
149,169,148,73,"(0,18] degrees",neutral,-0.4,143,149,anticlockwise,-1
166,142,145,103,"(18,36] degrees",left,-0.4,197,166,anticlockwise,-21
27,61,116,71,"(0,18] degrees",right,0.4,87,61,clockwise,10
23,108,59,135,"(18,36] degrees",neutral,0.4,134,108,clockwise,27
172,92,164,140,"(0,18] degrees",left,-0.4,131,172,anticlockwise,-8
75,159,68,138,"(18,36] degrees",right,0.4,163,159,anticlockwise,-21
144,114,151,33,"(0,18] degrees",neutral,-0.4,173,144,clockwise,7
157,14,181,103,"(18,36] degrees",left,-0.4,169,157,clockwise,24
142,85,13,69,"(0,18] degrees",right,0.4,52,85,anticlockwise,-16
178,75,86,39,"(18,36] degrees",neutral,0.4,110,75,anticlockwise,-36
156,116,174,110,"(0,18] degrees",left,-0.4,125,156,clockwise,18
22,172,169,198,"(18,36] degrees",right,0.4,131,172,clockwise,26
88,47,77,140,"(0,18] degrees",neutral,-0.4,43,88,anticlockwise,-11
109,77,88,147,"(18,36] degrees",left,-0.4,65,109,anticlockwise,-21
91,12,90,29,"(0,18] degrees",right,0.4,-23,12,clockwise,17
20,147,150,181,"(18,36] degrees",neutral,0.4,110,147,clockwise,34
114,163,109,35,"(0,18] degrees",left,-0.4,134,114,anticlockwise,-5
170,68,70,46,"(18,36] degrees",right,0.4,76,68,anticlockwise,-22
171,137,175,105,"(0,18] degrees",neutral,-0.4,153,171,clockwise,4
11,90,47,165,"(18,36] degrees",left,-0.4,43,11,clockwise,36
87,179,40,177,"(0,18] degrees",right,0.4,216,179,anticlockwise,-2
100,158,81,129,"(18,36] degrees",neutral,0.4,179,158,anticlockwise,-29
60,84,75,12,"(0,18] degrees",left,-0.4,18,60,clockwise,15
62,84,48,117,"(18,36] degrees",right,0.4,63,84,clockwise,33
89,51,86,165,"(0,18] degrees",neutral,-0.4,67,89,anticlockwise,-3
175,39,144,121,"(18,36] degrees",left,-0.4,173,175,anticlockwise,-31
162,83,144,92,"(0,18] degrees",right,0.4,75,83,clockwise,9
110,50,173,72,"(18,36] degrees",neutral,0.4,40,50,clockwise,22
96,139,95,26,"(0,18] degrees",left,-0.4,84,96,anticlockwise,-1
139,60,88,31,"(18,36] degrees",right,0.4,40,60,anticlockwise,-29
164,79,166,101,"(0,18] degrees",neutral,-0.4,132,164,clockwise,2
