left_gabor_ori,right_gabor_ori,left_distractor_ori,right_distractor_ori,similarity_range,cue,probe_x,probe_ori,correct_response,rotate_direction,similarity
25,148,30,67,"(0,18] degrees",neutral,-0.4,63,25,clockwise,5
119,91,150,107,"(18,36] degrees",left,-0.4,118,119,clockwise,31
41,21,143,7,"(0,18] degrees",right,0.4,59,21,anticlockwise,-14
103,11,127,-17,"(18,36] degrees",neutral,0.4,-12,11,anticlockwise,-28
19,116,33,75,"(0,18] degrees",left,-0.4,-16,19,clockwise,14
41,179,157,199,"(18,36] degrees",right,0.4,144,179,clockwise,20
92,71,79,24,"(0,18] degrees",neutral,-0.4,68,92,anticlockwise,-13
172,102,150,69,"(18,36] degrees",left,-0.4,205,172,anticlockwise,-22
140,178,158,193,"(0,18] degrees",right,0.4,169,178,clockwise,15
98,149,49,176,"(18,36] degrees",neutral,0.4,129,149,clockwise,27
103,179,94,174,"(0,18] degrees",left,-0.4,143,103,anticlockwise,-9
50,170,103,148,"(18,36] degrees",right,0.4,170,170,anticlockwise,-22
71,51,81,46,"(0,18] degrees",neutral,-0.4,58,71,clockwise,10
8,61,41,13,"(18,36] degrees",left,-0.4,26,8,clockwise,33
114,152,4,146,"(0,18] degrees",right,0.4,149,152,anticlockwise,-6
159,58,174,26,"(18,36] degrees",neutral,0.4,79,58,anticlockwise,-32
11,168,17,96,"(0,18] degrees",left,-0.4,-32,11,clockwise,6
173,143,139,177,"(18,36] degrees",right,0.4,142,143,clockwise,34
143,22,138,90,"(0,18] degrees",neutral,-0.4,106,143,anticlockwise,-5
22,85,-3,77,"(18,36] degrees",left,-0.4,23,22,anticlockwise,-25
105,43,10,48,"(0,18] degrees",right,0.4,21,43,clockwise,5
61,35,146,63,"(18,36] degrees",neutral,0.4,-5,35,clockwise,28
80,157,69,30,"(0,18] degrees",left,-0.4,105,80,anticlockwise,-11
34,91,98,56,"(18,36] degrees",right,0.4,119,91,anticlockwise,-35
3,92,20,172,"(0,18] degrees",neutral,-0.4,-15,3,clockwise,17
91,132,127,171,"(18,36] degrees",left,-0.4,96,91,clockwise,36
159,17,95,8,"(0,18] degrees",right,0.4,24,17,anticlockwise,-9
139,31,55,-1,"(18,36] degrees",neutral,0.4,67,31,anticlockwise,-32
160,121,175,95,"(0,18] degrees",left,-0.4,167,160,clockwise,15
