left_gabor_ori,right_gabor_ori,left_distractor_ori,right_distractor_ori,similarity_range,cue,probe_x,probe_ori,correct_response,rotate_direction,similarity
44,81,45,144,"(0,18] degrees",neutral,-0.4,84,44,clockwise,1
31,78,66,29,"(18,36] degrees",left,-0.4,13,31,clockwise,35
171,109,134,92,"(0,18] degrees",right,0.4,83,109,anticlockwise,-17
37,133,141,108,"(18,36] degrees",neutral,0.4,101,133,anticlockwise,-25
91,137,107,141,"(0,18] degrees",left,-0.4,60,91,clockwise,16
69,23,70,48,"(18,36] degrees",right,0.4,3,23,clockwise,25
44,163,42,179,"(0,18] degrees",neutral,-0.4,20,44,anticlockwise,-2
66,1,42,114,"(18,36] degrees",left,-0.4,44,66,anticlockwise,-24
126,94,122,99,"(0,18] degrees",right,0.4,82,94,clockwise,5
18,123,118,147,"(18,36] degrees",neutral,0.4,98,123,clockwise,24
133,61,127,12,"(0,18] degrees",left,-0.4,143,133,anticlockwise,-6
77,142,68,120,"(18,36] degrees",right,0.4,147,142,anticlockwise,-22
60,160,64,42,"(0,18] degrees",neutral,-0.4,31,60,clockwise,4
49,169,81,30,"(18,36] degrees",left,-0.4,93,49,clockwise,32
168,132,10,128,"(0,18] degrees",right,0.4,124,132,anticlockwise,-4
152,31,79,5,"(18,36] degrees",neutral,0.4,11,31,anticlockwise,-26
55,11,63,98,"(0,18] degrees",left,-0.4,46,55,clockwise,8
26,53,110,80,"(18,36] degrees",right,0.4,11,53,clockwise,27
119,141,117,88,"(0,18] degrees",neutral,-0.4,125,119,anticlockwise,-2
68,118,46,66,"(18,36] degrees",left,-0.4,56,68,anticlockwise,-22
63,7,100,12,"(0,18] degrees",right,0.4,51,7,clockwise,5
147,122,93,150,"(18,36] degrees",neutral,0.4,139,122,clockwise,28
7,66,1,50,"(0,18] degrees",left,-0.4,33,7,anticlockwise,-6
152,76,116,51,"(18,36] degrees",right,0.4,72,76,anticlockwise,-25
74,162,85,108,"(0,18] degrees",neutral,-0.4,97,74,clockwise,11
117,94,151,121,"(18,36] degrees",left,-0.4,115,117,clockwise,34
35,164,101,153,"(0,18] degrees",right,0.4,204,164,anticlockwise,-11
41,9,86,-18,"(18,36] degrees",neutral,0.4,1,9,anticlockwise,-27
79,131,82,140,"(0,18] degrees",left,-0.4,36,79,clockwise,3
