left_gabor_ori,right_gabor_ori,left_distractor_ori,right_distractor_ori,similarity_range,cue,probe_x,probe_ori,correct_response,rotate_direction,similarity
14,52,25,1,"(0,18] degrees",neutral,-0.4,0,14,clockwise,11
142,104,172,137,"(18,36] degrees",left,-0.4,127,142,clockwise,30
40,97,154,86,"(0,18] degrees",right,0.4,91,97,anticlockwise,-11
67,6,21,-29,"(18,36] degrees",neutral,0.4,35,6,anticlockwise,-35
18,44,22,118,"(0,18] degrees",left,-0.4,-25,18,clockwise,4
100,151,15,172,"(18,36] degrees",right,0.4,151,151,clockwise,21
126,175,119,93,"(0,18] degrees",neutral,-0.4,105,126,anticlockwise,-7
74,124,50,78,"(18,36] degrees",left,-0.4,100,74,anticlockwise,-24
178,43,29,58,"(0,18] degrees",right,0.4,7,43,clockwise,15
4,129,103,154,"(18,36] degrees",neutral,0.4,158,129,clockwise,25
176,34,160,89,"(0,18] degrees",left,-0.4,165,176,anticlockwise,-16
158,31,105,-1,"(18,36] degrees",right,0.4,-12,31,anticlockwise,-32
104,6,113,140,"(0,18] degrees",neutral,-0.4,65,104,clockwise,9
126,1,147,69,"(18,36] degrees",left,-0.4,121,126,clockwise,21
119,163,140,160,"(0,18] degrees",right,0.4,196,163,anticlockwise,-3
87,6,95,-29,"(18,36] degrees",neutral,0.4,-30,6,anticlockwise,-35
13,171,29,165,"(0,18] degrees",left,-0.4,42,13,clockwise,16
1,82,32,101,"(18,36] degrees",right,0.4,111,82,clockwise,19
3,120,-6,83,"(0,18] degrees",neutral,-0.4,-11,3,anticlockwise,-9
134,21,108,30,"(18,36] degrees",left,-0.4,148,134,anticlockwise,-26
117,34,13,43,"(0,18] degrees",right,0.4,50,34,clockwise,9
158,26,157,62,"(18,36] degrees",neutral,0.4,48,26,clockwise,36
75,138,57,12,"(0,18] degrees",left,-0.4,30,75,anticlockwise,-18
40,62,122,41,"(18,36] degrees",right,0.4,95,62,anticlockwise,-21
169,129,177,156,"(0,18] degrees",neutral,-0.4,158,169,clockwise,8
120,4,154,106,"(18,36] degrees",left,-0.4,90,120,clockwise,34
154,76,110,60,"(0,18] degrees",right,0.4,55,76,anticlockwise,-16
13,65,173,36,"(18,36] degrees",neutral,0.4,92,65,anticlockwise,-29
51,163,58,104,"(0,18] degrees",left,-0.4,7,51,clockwise,7
29,111,107,136,"(18,36] degrees",right,0.4,138,111,clockwise,25
65,174,52,26,"(0,18] degrees",neutral,-0.4,91,65,anticlockwise,-13
161,9,133,37,"(18,36] degrees",left,-0.4,169,161,anticlockwise,-28
162,106,79,121,"(0,18] degrees",right,0.4,149,106,clockwise,15
162,26,11,55,"(18,36] degrees",neutral,0.4,10,26,clockwise,29
157,70,151,6,"(0,18] degrees",left,-0.4,151,157,anticlockwise,-6
1,88,25,58,"(18,36] degrees",right,0.4,91,88,anticlockwise,-30
22,155,29,83,"(0,18] degrees",neutral,-0.4,21,22,clockwise,7
124,30,154,62,"(18,36] degrees",left,-0.4,88,124,clockwise,30
14,69,120,55,"(0,18] degrees",right,0.4,111,69,anticlockwise,-14
173,134,62,112,"(18,36] degrees",neutral,0.4,159,134,anticlockwise,-22
157,105,168,88,"(0,18] degrees",left,-0.4,196,157,clockwise,11
134,34,85,60,"(18,36] degrees",right,0.4,35,34,clockwise,26
93,1,90,4,"(0,18] degrees",neutral,-0.4,95,93,anticlockwise,-3
141,0,115,65,"(18,36] degrees",left,-0.4,122,141,anticlockwise,-26
55,15,115,25,"(0,18] degrees",right,0.4,-8,15,clockwise,10
4,42,24,62,"(18,36] degrees",neutral,0.4,-1,42,clockwise,20
54,175,50,127,"(0,18] degrees",left,-0.4,32,54,anticlockwise,-4
71,169,101,148,"(18,36] degrees",right,0.4,181,169,anticlockwise,-21
61,41,76,38,"(0,18] degrees",neutral,-0.4,48,61,clockwise,15
16,46,51,165,"(18,36] degrees",left,-0.4,34,16,clockwise,35
9,90,127,74,"(0,18] degrees",right,0.4,77,90,anticlockwise,-16
100,162,64,128,"(18,36] degrees",neutral,0.4,182,162,anticlockwise,-34
91,48,102,174,"(0,18] degrees",left,-0.4,80,91,clockwise,11
160,38,164,66,"(18,36] degrees",right,0.4,66,38,clockwise,28
158,80,143,13,"(0,18] degrees",neutral,-0.4,119,158,anticlockwise,-15
98,136,66,108,"(18,36] degrees",left,-0.4,119,98,anticlockwise,-32
170,113,16,116,"(0,18] degrees",right,0.4,95,113,clockwise,3
1,84,28,110,"(18,36] degrees",neutral,0.4,80,84,clockwise,26
27,125,12,64,"(0,18] degrees",left,-0.4,38,27,anticlockwise,-15
67,169,33,150,"(18,36] degrees",right,0.4,192,169,anticlockwise,-19
111,39,114,151,"(0,18] degrees",neutral,-0.4,74,111,clockwise,3
131,80,164,99,"(18,36] degrees",left,-0.4,88,131,clockwise,33
