left_gabor_ori,right_gabor_ori,left_distractor_ori,right_distractor_ori,similarity_range,cue,probe_x,probe_ori,correct_response,rotate_direction,similarity
14,66,32,95,"(0,18] degrees",neutral,-0.4,46,14,clockwise,18
122,80,147,86,"(18,36] degrees",left,-0.4,116,122,clockwise,25
74,110,6,94,"(0,18] degrees",right,0.4,152,110,anticlockwise,-16
131,90,16,57,"(18,36] degrees",neutral,0.4,116,90,anticlockwise,-33
26,168,41,118,"(0,18] degrees",left,-0.4,4,26,clockwise,15
96,166,42,193,"(18,36] degrees",right,0.4,207,166,clockwise,27
96,26,81,123,"(0,18] degrees",neutral,-0.4,126,96,anticlockwise,-15
69,15,49,177,"(18,36] degrees",left,-0.4,30,69,anticlockwise,-20
84,116,157,125,"(0,18] degrees",right,0.4,83,116,clockwise,9
75,113,173,146,"(18,36] degrees",neutral,0.4,148,113,clockwise,33
153,48,138,114,"(0,18] degrees",left,-0.4,155,153,anticlockwise,-15
25,168,99,148,"(18,36] degrees",right,0.4,126,168,anticlockwise,-20
78,0,94,60,"(0,18] degrees",neutral,-0.4,108,78,clockwise,16
101,70,135,168,"(18,36] degrees",left,-0.4,106,101,clockwise,34
101,39,117,38,"(0,18] degrees",right,0.4,30,39,anticlockwise,-1
118,27,78,2,"(18,36] degrees",neutral,0.4,24,27,anticlockwise,-25
22,179,34,86,"(0,18] degrees",left,-0.4,24,22,clockwise,12
158,122,29,143,"(18,36] degrees",right,0.4,127,122,clockwise,21
123,94,113,173,"(0,18] degrees",neutral,-0.4,121,123,anticlockwise,-10
50,176,29,73,"(18,36] degrees",left,-0.4,21,50,anticlockwise,-21
23,152,8,168,"(0,18] degrees",right,0.4,157,152,clockwise,16
155,38,85,61,"(18,36] degrees",neutral,0.4,56,38,clockwise,23
64,22,62,144,"(0,18] degrees",left,-0.4,59,64,anticlockwise,-2
20,49,73,30,"(18,36] degrees",right,0.4,32,49,anticlockwise,-19
78,16,87,138,"(0,18] degrees",neutral,-0.4,33,78,clockwise,9
101,66,131,58,"(18,36] degrees",left,-0.4,91,101,clockwise,30
25,95,0,88,"(0,18] degrees",right,0.4,121,95,anticlockwise,-7
123,17,88,-12,"(18,36] degrees",neutral,0.4,-26,17,anticlockwise,-29
121,150,138,18,"(0,18] degrees",left,-0.4,107,121,clockwise,17
48,17,131,45,"(18,36] degrees",right,0.4,17,17,clockwise,28
36,11,30,130,"(0,18] degrees",neutral,-0.4,3,36,anticlockwise,-6
93,62,63,173,"(18,36] degrees",left,-0.4,84,93,anticlockwise,-30
14,80,116,90,"(0,18] degrees",right,0.4,54,80,clockwise,10
47,179,78,201,"(18,36] degrees",neutral,0.4,159,179,clockwise,22
79,112,77,150,"(0,18] degrees",left,-0.4,42,79,anticlockwise,-2
14,127,67,104,"(18,36] degrees",right,0.4,172,127,anticlockwise,-23
142,44,158,136,"(0,18] degrees",neutral,-0.4,177,142,clockwise,16
56,178,77,97,"(18,36] degrees",left,-0.4,19,56,clockwise,21
110,85,44,84,"(0,18] degrees",right,0.4,42,85,anticlockwise,-1
37,99,173,75,"(18,36] degrees",neutral,0.4,104,99,anticlockwise,-24
75,0,93,132,"(0,18] degrees",left,-0.4,77,75,clockwise,18
112,19,107,38,"(18,36] degrees",right,0.4,19,19,clockwise,19
162,79,159,9,"(0,18] degrees",neutral,-0.4,179,162,anticlockwise,-3
77,35,53,4,"(18,36] degrees",left,-0.4,41,77,anticlockwise,-24
132,165,148,174,"(0,18] degrees",right,0.4,189,165,clockwise,9
52,166,164,187,"(18,36] degrees",neutral,0.4,171,166,clockwise,21
1,29,-16,122,"(0,18] degrees",left,-0.4,44,1,anticlockwise,-17
13,103,29,80,"(18,36] degrees",right,0.4,70,103,anticlockwise,-23
150,70,157,124,"(0,18] degrees",neutral,-0.4,153,150,clockwise,7
65,8,94,34,"(18,36] degrees",left,-0.4,66,65,clockwise,29
126,41,74,30,"(0,18] degrees",right,0.4,40,41,anticlockwise,-11
98,18,87,-18,"(18,36] degrees",neutral,0.4,16,18,anticlockwise,-36
58,31,70,23,"(0,18] degrees",left,-0.4,38,58,clockwise,12
2,70,166,89,"(18,36] degrees",right,0.4,87,70,clockwise,19
115,46,102,4,"(0,18] degrees",neutral,-0.4,126,115,anticlockwise,-13
90,124,68,127,"(18,36] degrees",left,-0.4,87,90,anticlockwise,-22
89,114,50,129,"(0,18] degrees",right,0.4,138,114,clockwise,15
104,133,40,157,"(18,36] degrees",neutral,0.4,107,133,clockwise,24
93,168,84,119,"(0,18] degrees",left,-0.4,102,93,anticlockwise,-9
19,108,17,84,"(18,36] degrees",right,0.4,71,108,anticlockwise,-24
130,55,137,63,"(0,18] degrees",neutral,-0.4,120,130,clockwise,7
162,101,192,90,"(18,36] degrees",left,-0.4,121,162,clockwise,30
123,143,166,142,"(0,18] degrees",right,0.4,142,143,anticlockwise,-1
21,100,39,68,"(18,36] degrees",neutral,0.4,55,100,anticlockwise,-32
125,99,128,89,"(0,18] degrees",left,-0.4,109,125,clockwise,3
174,51,110,78,"(18,36] degrees",right,0.4,37,51,clockwise,27
